StartSession,17:31:34.5475456
respDelay0.7,17:31:34.5478400
respSize5,17:31:34.5480704
respCLOSED,17:31:37.1721472
respDelay0.7,17:31:39.6679424
respSize5,17:31:39.6681728
Active,17:31:39.6682112
stimON,17:31:39.7542912
dotsMOVE,17:31:40.2646272
respOPEN,17:31:40.4677504
stimOFF,17:31:42.7417472
respCLOSED,17:31:45.4779136
stimON,17:31:48.4176640
dotsMOVE,17:31:48.9330816
respOPEN,17:31:49.1205888
stimOFF,17:31:51.4096128
respCLOSED,17:31:54.1324288
stimON,17:31:56.8904576
dotsMOVE,17:31:57.4091904
respOPEN,17:31:57.5900288
stimOFF,17:31:59.8788992
respCLOSED,17:32:02.6015104
stimON,17:32:04.8275840
dotsMOVE,17:32:05.3310464
respOPEN,17:32:05.5343872
stimOFF,17:32:07.8139648
respCLOSED,17:32:10.5438208
stimON,17:32:12.6959488
dotsMOVE,17:32:13.1974144
respOPEN,17:32:13.3846400
stimOFF,17:32:15.6820224
respCLOSED,17:32:18.3956864
stimON,17:32:20.8965376
dotsMOVE,17:32:21.4026496
respOPEN,17:32:21.5909760
stimOFF,17:32:23.8846336
respCLOSED,17:32:26.5998592
stimON,17:32:28.6989952
dotsMOVE,17:32:29.2219904
respOPEN,17:32:29.3943552
stimOFF,17:32:31.7104384
respCLOSED,17:32:34.4003456
respDelay0.5,17:32:37.3084544
respSize1,17:32:37.3084672
Pause,17:32:37.3084800
