StartSession,17:34:07.7848448
respDelay1.5,17:34:07.7850752
respSize12,17:34:07.7852928
respDelay0.7,17:34:09.6854400
respSize5,17:34:09.6854784
Active,17:34:09.6854912
stimON,17:34:15.3727616
dotsMOVE,17:34:15.8870400
respOPEN,17:34:16.1412608
stimOFF,17:34:17.9739136
respCLOSED,17:34:21.1644160
respDelay0.7,17:34:23.7669504
respSize5,17:34:23.7669888
Active,17:34:23.7670016
stimON,17:34:23.8199552
dotsMOVE,17:34:24.3264768
respOPEN,17:34:24.5138688
stimOFF,17:34:26.8100736
respCLOSED,17:34:29.5246848
respDelay0.5,17:34:32.3013504
respSize1,17:34:32.3013760
Pause,17:34:32.3014016
