StartSession,17:28:23.0533888
respDelay1.5,17:28:23.0538112
respSize12,17:28:23.0540032
respDelay0.5,17:28:27.1652736
respSize7,17:28:27.1653376
ActiveNoAbort,17:28:27.1653632
stimON,17:28:30.4025984
dotsMOVE,17:28:30.9063552
respOPEN,17:28:30.9616512
stimOFF,17:28:35.0172032
respCLOSED,17:28:35.9892992
stimON,17:28:38.7723776
dotsMOVE,17:28:39.2827520
respOPEN,17:28:39.2854912
stimOFF,17:28:43.7835008
respCLOSED,17:28:44.2974848
respDelay0.5,17:28:46.6147200
respSize7,17:28:46.6147584
ActiveNoAbort,17:28:46.6147712
stimON,17:28:46.6789120
respOPEN,17:28:47.1703296
dotsMOVE,17:28:47.1835008
stimOFF,17:28:51.6845952
respCLOSED,17:28:52.1823360
respDelay0.7,17:28:55.1157760
respSize5,17:28:55.1157888
Active,17:28:55.1158272
stimON,17:28:55.1452544
dotsMOVE,17:28:55.6591360
respOPEN,17:28:55.8465792
stimOFF,17:28:58.1531776
respCLOSED,17:29:00.8731520
stimON,17:29:03.2179712
dotsMOVE,17:29:03.7275648
respOPEN,17:29:03.9149952
stimOFF,17:29:06.2200832
respCLOSED,17:29:08.9143296
stimON,17:29:11.7511296
dotsMOVE,17:29:12.2547712
respOPEN,17:29:12.4421376
stimOFF,17:29:14.7543424
respCLOSED,17:29:17.4542976
stimON,17:29:20.3494016
dotsMOVE,17:29:20.8641152
respOPEN,17:29:21.0516736
stimOFF,17:29:23.3550080
respCLOSED,17:29:26.0638336
stimON,17:29:28.2562048
dotsMOVE,17:29:28.7713280
respOPEN,17:29:28.9744000
stimOFF,17:29:31.2558336
respCLOSED,17:29:33.9858944
stimON,17:29:36.9247360
dotsMOVE,17:29:37.4260992
respOPEN,17:29:37.6286848
stimOFF,17:29:39.9239168
respCLOSED,17:29:42.6365440
stimON,17:29:45.5902464
dotsMOVE,17:29:46.1004160
respOPEN,17:29:46.2888960
stimOFF,17:29:48.5913088
respCLOSED,17:29:51.2996096
stimON,17:29:53.5945216
dotsMOVE,17:29:54.1068288
respOPEN,17:29:54.2941696
stimOFF,17:29:56.5927296
respCLOSED,17:29:59.3045760
stimON,17:30:02.0041728
dotsMOVE,17:30:02.5137280
respOPEN,17:30:02.7168512
stimOFF,17:30:04.9938560
respCLOSED,17:30:07.7289984
stimON,17:30:10.4084992
dotsMOVE,17:30:10.9159808
respOPEN,17:30:11.1032576
stimOFF,17:30:13.3977984
respCLOSED,17:30:16.1137536
stimON,17:30:18.2090752
dotsMOVE,17:30:18.7211008
respOPEN,17:30:18.9090432
stimOFF,17:30:21.1975296
respCLOSED,17:30:23.9188992
stimON,17:30:26.5111040
dotsMOVE,17:30:27.0121728
respOPEN,17:30:27.1996928
stimOFF,17:30:29.4984064
respCLOSED,17:30:32.2115712
stimON,17:30:34.5110784
dotsMOVE,17:30:35.0197376
respOPEN,17:30:35.2134272
stimOFF,17:30:37.5006464
respCLOSED,17:30:40.2193536
stimON,17:30:43.1765760
dotsMOVE,17:30:43.6916992
respOPEN,17:30:43.8789760
stimOFF,17:30:46.1703040
respCLOSED,17:30:48.8904704
