StartSession,17:38:30.9385088
respDelay1.5,17:38:30.9389696
respSize12,17:38:30.9392768
respDelay0.7,17:38:32.3559552
respSize5,17:38:32.3559680
Active,17:38:32.3560192
stimON,17:38:34.1881472
dotsMOVE,17:38:34.6990592
respOPEN,17:38:34.9537664
stimOFF,17:38:36.8077184
respCLOSED,17:38:39.9762560
stimON,17:38:42.6361344
dotsMOVE,17:38:43.1387392
respOPEN,17:38:43.3260416
stimOFF,17:38:45.6413696
respCLOSED,17:38:48.3383040
respDelay0.5,17:38:50.6726400
respSize1,17:38:50.6727168
Pause,17:38:50.6727680
