((0, 5860), 0),17:32:56.9170816
((0, 5870), 0),17:32:56.9247232
((0, 5880), 0),17:32:56.9348480
((0, 5890), 0),17:32:56.9441408
((0, 5900), 0),17:32:56.9542016
((0, 5910), 0),17:32:56.9645312
((0, 5920), 0),17:32:56.9748096
((0, 5931), 0),17:32:56.9847936
((0, 5941), 0),17:32:56.9949824
((0, 5951), 0),17:32:57.0051840
((0, 5961), 0),17:32:57.0153600
((0, 5971), 0),17:32:57.0254976
((0, 5981), 0),17:32:57.0346752
((0, 5991), 0),17:32:57.0449152
((0, 6001), 0),17:32:57.0550272
((0, 6011), 0),17:32:57.0654208
((0, 6021), 0),17:32:57.0743808
((0, 6031), 0),17:32:57.0847488
((0, 6041), 0),17:32:57.0947328
((0, 6051), 0),17:32:57.1048960
((0, 6061), 0),17:32:57.1141248
((0, 6071), 0),17:32:57.1242496
((0, 6081), 0),17:32:57.1345408
((0, 6091), 0),17:32:57.1448192
((0, 6102), 0),17:32:57.1547776
((0, 6112), 0),17:32:57.1649920
((0, 6122), 0),17:32:57.1751424
((0, 6132), 0),17:32:57.1853568
((0, 6142), 0),17:32:57.1955200
((0, 6152), 0),17:32:57.2047488
((0, 6162), 0),17:32:57.2148480
((0, 6172), 0),17:32:57.2250496
((0, 6182), 0),17:32:57.2352128
((0, 6192), 0),17:32:57.2444160
((0, 6202), 0),17:32:57.2545536
((0, 6212), 0),17:32:57.2649088
((0, 6222), 0),17:32:57.2749056
((0, 6232), 0),17:32:57.2841216
((0, 6242), 0),17:32:57.2943744
((0, 6252), 0),17:32:57.3044608
((0, 6262), 0),17:32:57.3146240
((0, 6272), 0),17:32:57.3238144
((0, 6282), 0),17:32:57.3339904
((0, 6292), 0),17:32:57.3441536
((0, 6302), 0),17:32:57.3543296
((0, 6312), 0),17:32:57.3645440
((0, 6322), 0),17:32:57.3738240
((0, 6332), 0),17:32:57.3839232
((0, 6342), 0),17:32:57.3940608
((0, 6352), 0),17:32:57.4042624
((0, 6362), 0),17:32:57.4134016
((0, 6372), 0),17:32:57.4235520
((0, 6382), 0),17:32:57.4337920
((0, 6392), 0),17:32:57.4441088
((0, 6402), 0),17:32:57.4530944
((0, 6412), 0),17:32:57.4632704
((0, 6422), 0),17:32:57.4735232
((0, 6432), 0),17:32:57.4836352
((0, 6443), 0),17:32:57.4938368
((0, 6453), 0),17:32:57.5040128
((0, 6463), 0),17:32:57.5142272
((0, 6473), 0),17:32:57.5243904
((0, 6483), 0),17:32:57.5345536
((0, 6493), 0),17:32:57.5437312
((0, 6503), 0),17:32:57.5539072
((0, 6513), 0),17:32:57.5640960
((0, 6523), 0),17:32:57.5743616
((0, 6533), 0),17:32:57.5834240
((0, 6543), 0),17:32:57.5936768
((0, 6553), 0),17:32:57.6039168
((0, 6563), 0),17:32:57.6140416
((0, 6573), 0),17:32:57.6231040
((0, 6583), 0),17:32:57.6332928
((0, 6593), 0),17:32:57.6435072
((0, 6603), 0),17:32:57.6536576
((0, 6614), 0),17:32:57.6638720
((0, 6624), 0),17:32:57.6740352
((0, 6634), 0),17:32:57.6842240
((0, 6644), 0),17:32:57.6944128
((0, 6654), 0),17:32:57.7045504
((0, 6664), 0),17:32:57.7137536
((0, 6674), 0),17:32:57.7239424
((0, 6684), 0),17:32:57.7340928
((0, 6694), 0),17:32:57.7445760
((0, 6704), 0),17:32:57.7535488
((0, 6714), 0),17:32:57.7636480
((0, 6724), 0),17:32:57.7738240
((0, 6734), 0),17:32:57.7839744
((0, 6744), 0),17:32:57.7931264
((0, 6754), 0),17:32:57.8033152
((0, 6764), 0),17:32:57.8135296
