StartSession,17:39:34.4035968
{TrialType=4, Response=0, TrialResult=3, LeftVel=16, RightVel=128},17:40:02.0705280
{TrialType=4, Response=0, TrialResult=3, LeftVel=1024, RightVel=128},17:40:10.1064960
{TrialType=4, Response=0, TrialResult=3, LeftVel=1024, RightVel=128},17:40:18.5599232
