((0, 15729), 0),17:35:38.8408832
((0, 15739), 0),17:35:38.8487040
((0, 15749), 0),17:35:38.8578048
((0, 15759), 0),17:35:38.8681088
((0, 15769), 0),17:35:38.8781696
((0, 15779), 0),17:35:38.8883712
((0, 15789), 0),17:35:38.8975616
((0, 15799), 0),17:35:38.9076992
((0, 15809), 0),17:35:38.9179776
((0, 15819), 0),17:35:38.9281152
((0, 15830), 0),17:35:38.9382528
((0, 15840), 0),17:35:38.9484672
((0, 15850), 0),17:35:38.9587712
((0, 15860), 0),17:35:38.9687936
((0, 15870), 0),17:35:38.9790080
((0, 15880), 0),17:35:38.9882752
((0, 15890), 0),17:35:38.9983360
((0, 15900), 0),17:35:39.0085760
((0, 15910), 0),17:35:39.0187648
((0, 15920), 0),17:35:39.0279808
((0, 15930), 0),17:35:39.0380288
((0, 15940), 0),17:35:39.0483712
((0, 15950), 0),17:35:39.0584448
((0, 15960), 0),17:35:39.0675968
((0, 15970), 0),17:35:39.0779520
((0, 15980), 0),17:35:39.0880256
((0, 15990), 0),17:35:39.0981632
((0, 16000), 0),17:35:39.1073920
((0, 16010), 0),17:35:39.1174656
((0, 16020), 0),17:35:39.1277184
((0, 16030), 0),17:35:39.1378432
((0, 16040), 0),17:35:39.1482368
((0, 16050), 0),17:35:39.1572224
((0, 16060), 0),17:35:39.1673600
((0, 16070), 0),17:35:39.1775232
((0, 16080), 0),17:35:39.1877504
((0, 16090), 0),17:35:39.1968768
((0, 16100), 0),17:35:39.2071168
((0, 16110), 0),17:35:39.2172672
((0, 16120), 0),17:35:39.2274176
((0, 16130), 0),17:35:39.2366720
((0, 16140), 0),17:35:39.2468096
((0, 16150), 0),17:35:39.2570880
((0, 16160), 0),17:35:39.2671232
((0, 16171), 0),17:35:39.2773376
((0, 16181), 0),17:35:39.2875008
((0, 16191), 0),17:35:39.2977152
((0, 16201), 0),17:35:39.3079424
((0, 16211), 0),17:35:39.3180544
((0, 16221), 0),17:35:39.3272192
((0, 16231), 0),17:35:39.3373824
((0, 16241), 0),17:35:39.3476096
((0, 16251), 0),17:35:39.3577472
((0, 16261), 0),17:35:39.3669248
((0, 16271), 0),17:35:39.3771136
((0, 16281), 0),17:35:39.3872640
((0, 16291), 0),17:35:39.3974912
((0, 16301), 0),17:35:39.4066816
((0, 16311), 0),17:35:39.4168576
((0, 16321), 0),17:35:39.4270336
((0, 16331), 0),17:35:39.4372608
((0, 16342), 0),17:35:39.4474752
((0, 16352), 0),17:35:39.4575232
((0, 16362), 0),17:35:39.4677504
((0, 16372), 0),17:35:39.4778752
((0, 16382), 0),17:35:39.4883072
((0, 16392), 0),17:35:39.4973696
((0, 16402), 0),17:35:39.5075840
((0, 16412), 0),17:35:39.5175808
((0, 16422), 0),17:35:39.5278080
((0, 16432), 0),17:35:39.5369600
((0, 16442), 0),17:35:39.5471744
((0, 16452), 0),17:35:39.5573120
((0, 16462), 0),17:35:39.5675008
((0, 16472), 0),17:35:39.5766016
((0, 16482), 0),17:35:39.5868416
((0, 16492), 0),17:35:39.5971968
((0, 16502), 0),17:35:39.6073088
((0, 16512), 0),17:35:39.6164224
((0, 16522), 0),17:35:39.6265600
((0, 16532), 0),17:35:39.6368512
((0, 16542), 0),17:35:39.6468992
